Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	! how are you	3	Human 2	1, 3
2	4	i did meet them	3	Human 2	5, 7
2	3	what are you	5	Human 2	11, 15
5	2	are you	15	Human 2	1, 3, 9, 11, 15
2	2	, but	3	Human 2	5, 7
2	2	good at	3	Human 2	15, 17
2	2	i have	3	Human 2	7, 9
2	2	i'm eating	5	Human 2	9, 13
2	2	today ?	3	Human 2	1, 3
4	1	i	13	Human 2	5, 7, 9, 17
4	1	i'm	9	Human 2	9, 13, 15, 17
3	1	but	7	Human 2	5, 7, 11
3	1	eating	5	Human 2	9, 11, 13
3	1	the	5	Human 2	5, 7, 9
3	1	what	7	Human 2	9, 11, 15
2	1	already	3	Human 2	7, 9
2	1	and	5	Human 2	9, 13
2	1	at	3	Human 2	15, 17
2	1	graduated	3	Human 2	7, 9
2	1	in	9	Human 2	9, 17
2	1	klutz	3	Human 2	11, 13
2	1	my	3	Human 2	7, 9
2	1	pretty	5	Human 2	13, 17
2	1	wedding	5	Human 2	5, 9
2	1	week	3	Human 2	5, 7

