Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	a lot of fun	3	Human 1	12, 14
2	2	did you	5	Human 1	8, 12
2	2	haha ...	3	Human 1	4, 6
2	2	it was	9	Human 1	6, 14
2	2	we played	3	Human 1	12, 14
4	1	it	9	Human 1	6, 8, 10, 14
3	1	in	5	Human 1	10, 12, 14
3	1	was	13	Human 1	2, 6, 14
3	1	we	5	Human 1	10, 12, 14
3	1	you	9	Human 1	4, 8, 12
2	1	a	3	Human 1	12, 14
2	1	at	7	Human 1	8, 14
2	1	did	5	Human 1	8, 12
2	1	fun	3	Human 1	12, 14
2	1	have	3	Human 1	12, 14
2	1	or	5	Human 1	4, 8
2	1	party	11	Human 1	2, 12
2	1	so	5	Human 1	6, 10
2	1	the	5	Human 1	10, 14
2	1	to	5	Human 1	10, 14
2	1	turkey	7	Human 1	4, 10
2	1	your	3	Human 1	2, 4

