Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	2	famous series	11	2	1	Human 1	10, 11
2	2	2	grand canyon	13	2	1	Human 1	12, 13
2	2	2	movies and	5	2	1	Human 1	4, 5
2	2	2	with his	11	2	1	Human 1	10, 11
9	7	1	and	4	13	1	Human 2	3, 4, 5, 7, 9, 11, 12, 13, 15
9	9	1	you	5	15	2	Human 1	2, 4, 5, 8, 9, 12, 14, 15, 16
8	8	1	for	5	14	2	Human 1	2, 4, 5, 7, 9, 10, 13, 15
7	7	1	a	10	9	2	Human 2	7, 9, 10, 12, 13, 14, 15
6	6	1	have	3	11	1	Human 1	2, 3, 4, 5, 8, 12
6	6	1	the	7	12	1	Human 1	4, 7, 9, 11, 13, 15
5	5	1	is	7	8	1	Human 1	6, 7, 11, 12, 13
5	5	1	of	9	7	1	Human 1	8, 9, 12, 13, 14
5	5	1	to	12	12	2	Human 2	5, 7, 12, 14, 16
4	4	1	about	7	6	1	Human 1	6, 7, 9, 11
4	4	1	i	4	6	1	Human 2	3, 4, 5, 8
4	2	1	with	14	6	1	Human 1	10, 11, 14, 15
3	3	1	are	10	6	2	Human 2	5, 9, 10
3	3	1	frasier	9	4	1	Human 1	8, 9, 11
3	3	1	friends	9	7	1	Human 1	8, 9, 14
3	1	1	grand	15	4	1	Human 1	12, 13, 15
3	3	1	its	13	6	1	Human 1	10, 13, 15
3	1	1	series	10	5	1	Human 2	7, 10, 11
3	3	1	shows	5	6	1	Human 1	4, 5, 9
2	2	1	actually	11	2	1	Human 1	10, 11
2	2	1	another	11	4	1	Human 1	8, 11
2	2	1	exploring	15	4	1	Human 1	12, 15
2	2	1	from	11	2	1	Human 1	10, 11
2	2	1	give	15	8	1	Human 1	8, 15
2	2	1	great	15	6	1	Human 1	10, 15
2	2	1	here	5	2	1	Human 1	4, 5
2	1	1	his	11	2	1	Human 1	10, 11
2	2	1	holiday	3	2	1	Human 1	2, 3
2	2	1	humour	11	2	1	Human 1	10, 11
2	2	1	netflix	5	2	1	Human 1	4, 5
2	2	1	new	15	4	1	Human 1	12, 15
2	2	1	or	14	12	1	Human 2	3, 14
2	2	1	place	15	2	1	Human 1	14, 15
2	2	1	plans	3	2	1	Human 1	2, 3
2	2	1	psychiatrist	11	2	1	Human 1	10, 11
2	2	1	radio	11	2	1	Human 1	10, 11
2	2	1	really	15	4	1	Human 1	12, 15
2	2	1	recommendations	5	2	1	Human 1	4, 5
2	2	1	right	7	2	1	Human 1	6, 7
2	2	1	trip	13	2	1	Human 1	12, 13

