model,weight,median_perplexity,ER_median
Qwen3.5-2B,-50.0,44.64,0.238193
Qwen3.5-2B,0.0,29.2,0.37522
Qwen3.5-2B,17.0,32.21,0.417921
Qwen3.5-2B,33.0,28.41,0.422824
Qwen3.5-2B,50.0,37.04,0.462907
Qwen3.5-2B,67.0,27.89,0.463407
Qwen3.5-2B,83.0,34.07,0.498923
Qwen3.5-2B,100.0,33.45,0.515086
Qwen3.5-2B,200.0,31.6,0.546495
blenderbot-3b,-50.0,32.46,0.330497
blenderbot-3b,0.0,26.08,0.413958
blenderbot-3b,17.0,25.89,0.45367
blenderbot-3b,33.0,30.22,0.504473
blenderbot-3b,50.0,33.46,0.51584
blenderbot-3b,67.0,27.57,0.545972
blenderbot-3b,83.0,30.85,0.528375
blenderbot-3b,100.0,30.36,0.551134
blenderbot-3b,150.0,33.57,0.572513
gemma-4-E2B-it,-3000.0,51.67,0.201245
gemma-4-E2B-it,0.0,30.64,0.372448
gemma-4-E2B-it,1000.0,30.89,0.44196
gemma-4-E2B-it,6000.0,33.54,0.476109
gemma-4-E2B-it,12000.0,35.11,0.479816
gemma-4-E2B-it,18000.0,30.14,0.485197
gemma-4-E2B-it,40000.0,39.08,0.538077
gemma_prompted,-3000.0,43.44,0.215563
gemma_prompted,0.0,27.05,0.346436
gemma_prompted,1000.0,27.47,0.426781
gemma_prompted,1500.0,26.74,0.444881
gemma_prompted,3000.0,27.62,0.437118
gemma_prompted,6000.0,29.21,0.463864
gemma_prompted,12000.0,28.45,0.470578
gemma_prompted,18000.0,28.71,0.503321
gemma_prompted,30000.0,30.36,0.508037
llama-3.2-1b,-150.0,32.28,0.252571
llama-3.2-1b,0.0,22.87,0.396008
llama-3.2-1b,50.0,28.64,0.446704
llama-3.2-1b,100.0,34.73,0.509687
llama-3.2-1b,150.0,33.52,0.520549
llama-3.2-1b,200.0,37.6,0.49991
llama-3.2-1b,250.0,35.14,0.555384
llama-3.2-1b,300.0,37.52,0.568971
llama-3.2-1b,400.0,36.67,0.567131
