Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	the literature ?	3	Human 1	8, 10
2	2	? where	3	Human 1	8, 10
2	2	? why	3	Human 1	6, 8
2	2	that ?	3	Human 1	4, 6
4	1	that	7	Human 1	4, 6, 8, 10
3	1	a	9	Human 1	4, 10, 12
3	1	how	7	Human 1	2, 4, 8
3	1	the	5	Human 1	6, 8, 10
3	1	work	5	Human 1	4, 6, 8
3	1	you	11	Human 1	4, 6, 14
2	1	and	5	Human 1	6, 10
2	1	been	7	Human 1	2, 8
2	1	day	3	Human 1	4, 6
2	1	did	7	Human 1	4, 10
2	1	has	9	Human 1	2, 10
2	1	i	5	Human 1	10, 14
2	1	i'm	9	Human 1	4, 12
2	1	is	5	Human 1	4, 8
2	1	it	3	Human 1	8, 10
2	1	of	3	Human 1	6, 8

