Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	what about you ?	9	6	1	Human 1	4, 9
3	1	3	about you ?	4	7	1	Human 2	3, 4, 9
2	2	3	. have you	11	2	1	Human 1	10, 11
2	2	3	what are you	13	12	1	Human 1	2, 13
5	5	2	, i	8	11	1	Human 2	5, 8, 10, 11, 15
2	2	2	i think	15	6	1	Human 1	10, 15
2	2	2	i was	17	4	1	Human 1	14, 17
2	2	2	my life	5	2	1	Human 1	4, 5
2	2	2	to watch	15	4	1	Human 1	12, 15
2	2	2	trying to	5	2	1	Human 1	4, 5
9	7	1	i	8	13	2	Human 2	5, 7, 8, 9, 10, 11, 14, 15, 17
9	7	1	to	5	14	2	Human 1	2, 4, 5, 6, 8, 9, 10, 12, 15
9	4	1	you	3	15	1	Human 1	2, 3, 4, 6, 9, 10, 11, 13, 16
7	7	1	is	5	14	1	Human 1	2, 5, 10, 11, 12, 13, 15
7	5	1	my	3	9	1	Human 1	2, 3, 4, 5, 8, 9, 10
6	2	1	what	9	12	3	Human 1	2, 4, 6, 9, 12, 13
5	5	1	and	7	12	1	Human 1	4, 7, 9, 14, 15
5	3	1	have	10	11	1	Human 2	7, 10, 11, 16, 17
5	5	1	that	14	9	3	Human 2	9, 11, 13, 14, 17
5	5	1	the	5	14	1	Human 1	4, 5, 10, 15, 17
4	1	1	about	5	7	1	Human 2	3, 4, 5, 9
4	4	1	do	9	11	2	Human 1	6, 8, 9, 16
4	4	1	in	15	8	2	Human 1	10, 14, 15, 17
4	4	1	just	8	5	2	Human 2	5, 7, 8, 9
4	4	1	like	16	9	2	Human 2	9, 15, 16, 17
4	4	1	more	8	5	1	Human 2	7, 8, 9, 11
3	3	1	a	10	10	1	Human 2	5, 10, 14
3	1	1	are	14	13	1	Human 1	2, 13, 14
3	3	1	game	10	5	1	Human 2	9, 10, 13
3	3	1	it	15	10	1	Human 1	8, 15, 17
3	3	1	name	2	10	1	Human 2	1, 2, 10
3	3	1	now	8	6	1	Human 2	7, 8, 12
3	3	1	on	13	7	1	Human 1	8, 13, 14
3	3	1	pikachu	13	12	2	Human 1	2, 10, 13
3	3	1	your	12	13	1	Human 2	1, 12, 13
2	2	1	favorite	13	2	1	Human 1	12, 13
2	2	1	new	5	2	1	Human 1	4, 5
2	2	1	of	14	10	1	Human 2	5, 14
2	2	1	pokémon	11	4	1	Human 1	8, 11
2	2	1	show	17	6	1	Human 1	12, 17
2	2	1	travel	11	4	1	Human 1	8, 11
2	2	1	use	13	4	1	Human 1	10, 13
2	2	1	watching	17	4	1	Human 1	14, 17

