sweep,model,n_judges,n_comparisons,avg_cohens_kappa,fleiss_kappa,avg_kendall_tau,kappa[deepseek-v3.1_vs_minimax-m3],kappa[deepseek-v3.1_vs_ernie-4.5],kappa[minimax-m3_vs_ernie-4.5]
beam,blenderbot-3b,3,20,0.7386,0.5573,0.6515,0.7105,0.9,0.6053
beam,Qwen3.5-2B,3,20,0.55,0.273,0.4,0.45,0.725,0.475
beam,llama-3.2-1b,3,20,0.55,0.287,0.4,0.55,0.625,0.475
beam,gemma-4-E2B-it,3,20,0.5667,0.3191,0.4222,0.375,0.65,0.675
beam,gemma_prompted,3,20,0.4333,0.1048,0.2444,0.325,0.65,0.325
decay,Qwen3.5-2B,3,10,0.65,0.5,0.5333,0.5,0.75,0.7
decay,blenderbot-3b,3,10,0.2667,-0.1261,0.0222,0.5,0.15,0.15
decay,dialogpt-medium,3,10,0.4762,0.0138,0.3016,0.7143,0.5,0.2143
topk,blenderbot-3b,3,20,0.5426,0.1776,0.3901,0.4474,0.575,0.6053
topk,Qwen3.5-2B,3,20,0.4825,0.0633,0.3099,0.3158,0.5,0.6316
topk,llama-3.2-1b,3,20,0.4667,0.0934,0.2889,0.425,0.65,0.325
topk,gemma-4-E2B-it,3,20,0.55,0.168,0.4,0.5,0.55,0.6
topk,gemma_prompted,3,20,0.45,0.042,0.2667,0.325,0.45,0.575
weight,Qwen3.5-2B,3,30,0.4717,0.0586,0.2955,0.5259,0.4667,0.4224
weight,blenderbot-3b,3,30,0.5199,0.1844,0.3598,0.5385,0.55,0.4712
weight,gemma-4-E2B-it,3,30,0.6965,0.4766,0.5954,0.7155,0.65,0.7241
weight,gemma_prompted,3,30,0.4123,0.0875,0.2164,0.3796,0.2833,0.5741
weight,llama-3.2-1b,3,30,0.5889,0.2464,0.4519,0.5417,0.675,0.55
