Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	3	for the holidays	5	Human 1	4, 6, 8
2	3	. i was	9	Human 1	4, 12
4	2	for the	9	Human 1	4, 6, 8, 12
3	2	. i	11	Human 1	4, 12, 14
2	2	! i	9	Human 1	6, 14
2	2	, but	9	Human 1	6, 14
2	2	, i	5	Human 1	14, 18
2	2	a tree	3	Human 1	12, 14
2	2	to stay	3	Human 1	4, 6
6	1	i	15	Human 1	4, 6, 8, 12, 14, 18
5	1	a	15	Human 1	4, 6, 12, 14, 18
5	1	for	11	Human 1	2, 4, 6, 8, 12
5	1	the	11	Human 1	4, 6, 8, 12, 14
4	1	is	7	Human 1	10, 12, 14, 16
4	1	tree	9	Human 1	10, 12, 14, 18
3	1	and	11	Human 1	4, 10, 14
3	1	but	9	Human 1	6, 8, 14
3	1	to	11	Human 1	4, 6, 14
3	1	very	13	Human 1	2, 10, 14
2	1	admit	13	Human 1	4, 16
2	1	an	3	Human 1	10, 12
2	1	christmas	5	Human 1	10, 14
2	1	definitely	3	Human 1	4, 6
2	1	folks	3	Human 1	6, 8
2	1	have	9	Human 1	8, 16
2	1	in	3	Human 1	12, 14
2	1	just	11	Human 1	4, 14
2	1	like	3	Human 1	12, 14
2	1	of	3	Human 1	4, 6
2	1	real	3	Human 1	12, 14
2	1	we	3	Human 1	10, 12
2	1	with	11	Human 1	4, 14
2	1	you	15	Human 1	4, 18

