Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	i have been	3	Human 2	3, 5
2	3	i'm the same	3	Human 2	13, 15
2	3	that has been	7	Human 2	7, 13
6	2	has been	11	Human 2	3, 5, 7, 9, 11, 13
3	2	i have	7	Human 2	3, 5, 9
2	2	, so	3	Human 2	7, 9
2	2	and now	3	Human 2	7, 9
2	2	i don't	5	Human 2	11, 15
2	2	it has	7	Human 2	9, 15
2	2	there !	5	Human 2	1, 5
2	2	work for	7	Human 2	3, 9
6	1	been	11	Human 2	3, 5, 7, 9, 11, 13
6	1	i	13	Human 2	3, 5, 7, 9, 11, 15
6	1	the	13	Human 2	3, 7, 9, 11, 13, 15
5	1	i'm	13	Human 2	3, 7, 9, 13, 15
4	1	for	7	Human 2	3, 5, 7, 9
4	1	have	11	Human 2	3, 5, 9, 13
4	1	that	7	Human 2	7, 9, 11, 13
4	1	work	7	Human 2	3, 5, 7, 9
3	1	and	5	Human 2	7, 9, 11
3	1	like	9	Human 2	3, 9, 11
3	1	you	11	Human 2	5, 13, 15
2	1	even	3	Human 2	9, 11
2	1	it	7	Human 2	9, 15
2	1	it's	9	Human 2	7, 15
2	1	literature	3	Human 2	11, 13
2	1	now	3	Human 2	7, 9
2	1	off	3	Human 2	7, 9
2	1	peer	5	Human 2	11, 15
2	1	so	3	Human 2	7, 9
2	1	through	3	Human 2	7, 9
2	1	to	13	Human 2	3, 15

