Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	3	! what are	9	12	1	Human 1	2, 9, 13
3	3	3	. what are	12	10	2	Human 2	3, 11, 12
2	2	3	what are you	3	2	1	Human 1	2, 3
7	1	2	what are	7	12	1	Human 1	2, 3, 7, 9, 11, 12, 13
4	1	2	! what	9	12	2	Human 1	2, 4, 9, 13
4	4	2	your favorite	10	5	1	Human 2	9, 10, 11, 13
3	3	2	the best	11	6	1	Human 1	8, 11, 13
3	3	2	today ?	3	6	1	Human 1	2, 3, 7
2	2	2	! it's	12	12	1	Human 2	1, 12
2	2	2	. i	13	6	1	Human 1	8, 13
2	2	2	for the	14	8	1	Human 2	7, 14
8	8	1	just	3	12	1	Human 1	2, 3, 5, 7, 8, 9, 11, 13
8	3	1	the	7	9	1	Human 1	6, 7, 8, 10, 11, 12, 13, 14
7	7	1	to	2	10	1	Human 2	1, 2, 3, 4, 6, 7, 10
6	6	1	movies	7	8	1	Human 1	6, 7, 8, 9, 11, 13
6	5	1	you	2	11	1	Human 2	1, 2, 3, 7, 9, 11
6	2	1	your	7	10	1	Human 1	4, 7, 9, 10, 11, 13
5	5	1	day	6	13	2	Human 2	1, 5, 6, 11, 13
5	5	1	i'm	6	9	1	Human 2	3, 6, 7, 9, 11
5	2	1	today	11	12	1	Human 1	2, 3, 7, 11, 13
5	5	1	with	10	13	3	Human 2	1, 3, 5, 10, 13
4	4	1	have	10	11	1	Human 2	3, 10, 11, 13
4	2	1	i	13	8	3	Human 1	6, 8, 10, 13
4	2	1	it's	8	13	1	Human 2	1, 8, 12, 13
3	1	1	for	7	11	1	Human 1	4, 7, 14
3	3	1	like	9	8	1	Human 1	4, 9, 11
3	3	1	movie	11	4	1	Human 1	10, 11, 13
2	2	1	a	6	6	1	Human 2	1, 6
2	2	1	avatar	13	2	1	Human 1	12, 13
2	2	1	can	11	6	1	Human 1	6, 11
2	2	1	hi	1	2	1	Human 1	0, 1
2	2	1	so	6	2	1	Human 2	5, 6
2	2	1	son	5	2	1	Human 1	4, 5
2	2	1	too	13	2	1	Human 1	12, 13

