Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	yum ! what are	3	Human 2	7, 9
2	3	for thanksgiving ?	5	Human 2	9, 13
2	3	what are you	9	Human 2	5, 13
3	2	are you	13	Human 2	1, 5, 13
2	2	noodle soups	5	Human 2	7, 11
2	2	you ?	11	Human 2	1, 11
6	1	are	13	Human 2	1, 5, 7, 9, 11, 13
5	1	what	9	Human 2	5, 7, 9, 11, 13
5	1	you	13	Human 2	1, 3, 5, 11, 13
2	1	anything	9	Human 2	3, 11
2	1	good	3	Human 2	9, 11
2	1	noodle	5	Human 2	7, 11
2	1	stuffing	3	Human 2	9, 11
2	1	to	9	Human 2	5, 13
2	1	yea	3	Human 2	11, 13

