Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	. i	5	Human 1	6, 10
2	2	for the	7	Human 1	6, 12
2	2	have to	3	Human 1	10, 12
4	1	have	7	Human 1	6, 8, 10, 12
4	1	i	9	Human 1	4, 6, 10, 12
4	1	so	9	Human 1	4, 6, 10, 12
3	1	a	7	Human 1	4, 6, 10
3	1	for	9	Human 1	4, 6, 12
3	1	of	9	Human 1	4, 6, 12
3	1	the	9	Human 1	4, 6, 12
2	1	be	5	Human 1	6, 10
2	1	cause	7	Human 1	4, 10
2	1	it's	3	Human 1	10, 12
2	1	lotion	3	Human 1	10, 12
2	1	my	3	Human 1	4, 6
2	1	on	7	Human 1	4, 10
2	1	sick	3	Human 1	4, 6
2	1	to	3	Human 1	10, 12
2	1	you	5	Human 1	4, 8

