Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	high enough distance	11	2	1	Human 1	10, 11
3	3	2	too bad	6	4	2	Human 2	3, 5, 6
2	2	2	are you	14	2	1	Human 2	13, 14
2	2	2	for thanksgiving	13	2	1	Human 1	12, 13
2	2	2	going to	15	2	1	Human 1	14, 15
2	2	2	the turkey	15	2	1	Human 1	14, 15
8	6	1	you	3	14	1	Human 1	2, 3, 5, 11, 12, 13, 14, 15
6	5	1	the	6	11	1	Human 2	5, 6, 7, 13, 14, 15
6	4	1	to	12	11	3	Human 2	5, 7, 9, 12, 14, 15
5	2	1	too	9	11	2	Human 2	3, 5, 6, 9, 13
4	2	1	for	12	11	1	Human 2	5, 12, 13, 15
4	2	1	going	4	15	1	Human 2	1, 4, 14, 15
3	3	1	a	10	8	1	Human 2	5, 10, 12
3	3	1	corgi	9	8	1	Human 1	8, 9, 15
3	3	1	from	11	4	1	Human 1	10, 11, 13
3	3	1	how	4	3	1	Human 2	3, 4, 5
3	3	1	that	11	12	1	Human 1	4, 11, 15
2	2	1	all	7	6	1	Human 1	2, 7
2	2	1	been	7	4	1	Human 1	4, 7
2	2	1	better	7	2	1	Human 1	6, 7
2	2	1	coming	13	2	1	Human 1	12, 13
2	2	1	cook	15	2	1	Human 1	14, 15
2	2	1	funny	11	4	1	Human 1	8, 11
2	2	1	good	7	6	1	Human 1	2, 7
2	2	1	hopefully	7	2	1	Human 1	6, 7
2	2	1	is	12	2	1	Human 2	11, 12
2	2	1	pretty	14	8	1	Human 2	7, 14
2	2	1	with	6	2	1	Human 2	5, 6

